STATE	COUNTY	TRACT	BLOCKGROUP	BLOCK	Pop	White	Black	AmericanIndian	Asian	APINH	OtherRace	HispanicOrigin	NH_White
11	001	000100	1	1000	363	306	6	0	33	0	5	50	260
11	001	000100	1	1001	34	29	1	0	4	0	1	5	25
11	001	000100	1	1002	137	115	2	0	13	0	2	19	98
11	001	000100	1	1003	158	133	3	0	15	0	2	22	113
11	001	000100	1	1004	88	74	2	0	8	0	2	13	63
11	001	000100	1	1005	35	30	1	0	4	0	1	5	25
11	001	000100	1	1006	121	102	2	0	11	0	2	17	87
11	001	000100	1	1007	43	36	1	0	4	0	1	6	31
11	001	000100	1	1008	56	48	1	0	6	0	1	8	41
11	001	000100	1	1009	128	108	2	0	12	0	2	18	92
11	001	000100	1	1010	149	126	3	0	14	0	2	21	107
11	001	000100	1	1011	195	164	3	0	18	0	3	27	140
11	001	000100	2	2000	661	613	15	0	27	0	0	33	581
11	001	000100	2	2001	297	275	7	0	12	0	0	15	261
11	001	000100	2	2002	111	103	3	0	5	0	0	6	98
11	001	000100	2	2003	61	57	2	0	3	0	0	3	54
11	001	000100	2	2004	69	64	2	0	3	0	0	4	61
11	001	000100	2	2005	0	0	0	0	0	0	0	0	0
11	001	000100	2	2006	96	89	3	0	4	0	0	5	84
11	001	000100	2	2007	50	47	2	0	2	0	0	3	44
11	001	000100	2	2008	113	105	3	0	5	0	0	6	100
11	001	000100	2	2009	47	44	1	0	2	0	0	3	42
11	001	000100	3	3000	41	36	0	0	4	0	0	4	33
11	001	000100	3	3001	127	113	0	0	11	0	0	12	101
11	001	000100	3	3002	218	194	0	0	19	0	0	20	174
11	001	000100	3	3003	72	64	0	0	7	0	0	7	58
11	001	000100	3	3004	46	41	0	0	4	0	0	5	37
11	001	000100	3	3005	75	67	0	0	7	0	0	7	60
11	001	000100	3	3006	109	97	0	0	10	0	0	10	87
11	001	000100	3	3007	43	39	0	0	4	0	0	4	35
11	001	000100	3	3008	39	35	0	0	4	0	0	4	31
11	001	000100	3	3009	39	35	0	0	4	0	0	4	31
11	001	000100	3	3010	64	57	0	0	6	0	0	6	51
11	001	000100	3	3011	77	68	0	0	7	0	0	7	61
11	001	000100	3	3012	76	68	0	0	7	0	0	7	61
11	001	000100	4	4049	0	0	0	0	0	0	0	0	0
11	001	000100	4	4028	0	0	0	0	0	0	0	0	0
11	001	000100	4	4035	0	0	0	0	0	0	0	0	0
11	001	000100	4	4050	0	0	0	0	0	0	0	0	0
11	001	000100	4	4000	61	59	0	0	1	0	2	14	47
11	001	000100	4	4001	83	80	0	0	2	0	3	19	64
11	001	000100	4	4002	99	95	0	0	2	0	4	22	76
11	001	000100	4	4003	96	92	0	0	2	0	3	21	74
11	001	000100	4	4004	90	86	0	0	2	0	3	20	69
11	001	000100	4	4005	99	95	0	0	2	0	4	22	76
11	001	000100	4	4006	79	75	0	0	2	0	3	18	61
11	001	000100	4	4007	60	58	0	0	1	0	2	14	46
11	001	000100	4	4008	58	55	0	0	1	0	2	13	45
11	001	000100	4	4009	60	58	0	0	1	0	2	14	46
11	001	000100	4	4010	0	0	0	0	0	0	0	0	0
11	001	000100	4	4011	20	19	0	0	1	0	1	5	16
11	001	000100	4	4012	17	16	0	0	1	0	1	4	13
11	001	000100	4	4013	7	7	0	0	1	0	1	2	6
11	001	000100	4	4014	0	0	0	0	0	0	0	0	0
11	001	000100	4	4015	7	7	0	0	1	0	1	2	6
11	001	000100	4	4016	0	0	0	0	0	0	0	0	0
11	001	000100	4	4017	5	5	0	0	1	0	1	2	4
