STATE	COUNTY	TRACT	BLOCKGROUP	BLOCK	Pop	White	Black	AmericanIndian	Asian	APINH	OtherRace	HispanicOrigin	NH_White
10	001	040100	1	1010	360	345	10	0	0	0	0	18	328
10	001	040100	1	1011	24	23	1	0	0	0	0	2	22
10	001	040100	1	1012	0	0	0	0	0	0	0	0	0
10	001	040100	1	1013	29	27	1	0	0	0	0	2	26
10	001	040100	1	1014	52	50	2	0	0	0	0	3	47
10	001	040100	1	1015	0	0	0	0	0	0	0	0	0
10	001	040100	1	1016	5	5	1	0	0	0	0	1	5
10	001	040100	1	1017	0	0	0	0	0	0	0	0	0
10	001	040100	1	1018	7	6	1	0	0	0	0	1	6
10	001	040100	1	1019	37	36	1	0	0	0	0	2	34
10	001	040100	1	1020	70	67	2	0	0	0	0	4	64
10	001	040100	1	1021	48	46	2	0	0	0	0	3	44
10	001	040100	1	1022	53	51	2	0	0	0	0	3	48
10	001	040100	1	1023	54	52	2	0	0	0	0	3	49
10	001	040100	1	1024	4	4	1	0	0	0	0	1	4
10	001	040100	1	1025	55	53	2	0	0	0	0	3	51
10	001	040100	1	1026	7	6	1	0	0	0	0	1	6
10	001	040100	1	1030	143	138	4	0	0	0	0	8	131
10	001	040100	1	1031	77	74	2	0	0	0	0	4	71
10	001	040100	1	1032	16	16	1	0	0	0	0	1	15
10	001	040100	1	1033	0	0	0	0	0	0	0	0	0
10	001	040100	1	1034	126	121	4	0	0	0	0	7	115
10	001	040100	1	1035	25	24	1	0	0	0	0	2	23
10	001	040100	1	1036	284	272	8	0	0	0	0	14	259
10	001	040100	1	1037	32	31	1	0	0	0	0	2	29
10	001	040100	1	1038	0	0	0	0	0	0	0	0	0
10	001	040100	1	1039	59	57	2	0	0	0	0	3	54
10	001	040100	1	1040	38	37	1	0	0	0	0	2	35
10	001	040100	1	1041	4	4	1	0	0	0	0	1	4
10	001	040100	1	1042	19	18	1	0	0	0	0	1	17
10	001	040100	1	1043	25	24	1	0	0	0	0	2	23
10	001	040100	1	1044	3	3	1	0	0	0	0	1	3
10	001	040100	1	1045	148	142	4	0	0	0	0	8	135
10	001	040100	1	1000	95	91	3	0	0	0	0	5	86
10	001	040100	1	1001	360	345	10	0	0	0	0	18	328
10	001	040100	1	1002	25	24	1	0	0	0	0	2	23
10	001	040100	1	1003	112	107	3	0	0	0	0	6	102
10	001	040100	1	1004	65	63	2	0	0	0	0	4	59
10	001	040100	1	1005	8	8	1	0	0	0	0	1	7
10	001	040100	1	1006	62	59	2	0	0	0	0	3	56
10	001	040100	1	1007	0	0	0	0	0	0	0	0	0
10	001	040100	1	1008	0	0	0	0	0	0	0	0	0
10	001	040100	1	1009	26	25	1	0	0	0	0	2	24
10	001	040100	1	1027	230	221	6	0	0	0	0	12	210
10	001	040100	1	1028	453	434	12	0	0	0	0	23	412
10	001	040100	1	1029	0	0	0	0	0	0	0	0	0
10	001	040100	2	2018	5	5	1	1	0	1	1	1	5
10	001	040100	2	2028	5	5	1	1	0	1	1	1	5
10	001	040100	2	2029	7	6	1	1	0	1	1	1	6
10	001	040100	2	2030	62	56	4	1	0	1	2	3	55
10	001	040100	2	2031	5	5	1	1	0	1	1	1	5
10	001	040100	2	2032	33	29	2	1	0	1	1	2	29
10	001	040100	2	2033	26	23	2	1	0	1	1	1	23
10	001	040100	2	2034	47	42	3	1	0	1	1	2	41
10	001	040100	2	2046	41	37	3	1	0	1	1	2	36
10	001	040100	2	2047	15	13	1	1	0	1	1	1	13
10	001	040100	2	2048	6	6	1	1	0	1	1	1	6
10	001	040100	2	2000	92	82	6	1	0	1	2	4	81
10	001	040100	2	2001	7	6	1	1	0	1	1	1	6
10	001	040100	2	2002	30	27	2	1	0	1	1	2	26
10	001	040100	2	2003	2	2	1	1	0	1	1	1	2
