STATE	COUNTY	TRACT	BLOCKGROUP	BLOCK	Pop	White	Black	AmericanIndian	Asian	APINH	OtherRace	HispanicOrigin	NH_White
44	001	030100	1	1000	23	21	0	0	2	0	0	1	21
44	001	030100	1	1001	17	16	0	0	2	0	0	1	16
44	001	030100	1	1002	8	8	0	0	1	0	0	1	8
44	001	030100	1	1003	28	26	0	0	2	0	0	1	25
44	001	030100	1	1004	18	17	0	0	2	0	0	1	17
44	001	030100	1	1005	13	12	0	0	1	0	0	1	12
44	001	030100	1	1006	28	26	0	0	2	0	0	1	25
44	001	030100	1	1007	23	21	0	0	2	0	0	1	21
44	001	030100	1	1008	158	146	0	0	12	0	0	2	144
44	001	030100	1	1009	15	14	0	0	2	0	0	1	14
44	001	030100	1	1010	7	7	0	0	1	0	0	1	7
44	001	030100	1	1011	0	0	0	0	0	0	0	0	0
44	001	030100	1	1012	0	0	0	0	0	0	0	0	0
44	001	030100	1	1013	492	453	0	0	35	0	0	6	448
44	001	030100	1	1014	30	28	0	0	3	0	0	1	27
44	001	030100	1	1015	24	22	0	0	2	0	0	1	22
44	001	030100	1	1016	32	29	0	0	3	0	0	1	29
44	001	030100	1	1017	22	20	0	0	2	0	0	1	20
44	001	030100	1	1018	16	15	0	0	2	0	0	1	15
44	001	030100	1	1019	25	23	0	0	2	0	0	1	23
44	001	030100	1	1020	29	27	0	0	3	0	0	1	26
44	001	030100	1	1021	15	14	0	0	2	0	0	1	14
44	001	030100	1	1022	25	23	0	0	2	0	0	1	23
44	001	030100	1	1023	39	36	0	0	3	0	0	1	35
44	001	030100	1	1024	35	32	0	0	3	0	0	1	32
44	001	030100	1	1025	19	18	0	0	2	0	0	1	17
44	001	030100	1	1026	26	24	0	0	2	0	0	1	24
44	001	030100	1	1027	11	10	0	0	1	0	0	1	10
44	001	030100	1	1028	28	26	0	0	2	0	0	1	25
44	001	030100	1	1029	23	21	0	0	2	0	0	1	21
44	001	030100	1	1030	28	26	0	0	2	0	0	1	25
44	001	030100	1	1031	56	52	0	0	4	0	0	1	51
44	001	030100	1	1032	15	14	0	0	2	0	0	1	14
44	001	030100	1	1033	0	0	0	0	0	0	0	0	0
44	001	030100	1	1034	24	22	0	0	2	0	0	1	22
44	001	030100	1	1035	0	0	0	0	0	0	0	0	0
44	001	030100	1	1036	124	114	0	0	9	0	0	2	113
44	001	030100	2	2000	245	218	3	0	13	0	0	24	202
44	001	030100	2	2001	29	26	1	0	2	0	0	3	24
44	001	030100	2	2002	17	15	1	0	1	0	0	2	14
44	001	030100	2	2003	23	21	1	0	2	0	0	3	19
44	001	030100	2	2004	17	15	1	0	1	0	0	2	14
44	001	030100	2	2005	24	21	1	0	2	0	0	3	20
44	001	030100	2	2006	32	28	1	0	2	0	0	4	26
44	001	030100	2	2007	26	23	1	0	2	0	0	3	21
44	001	030100	2	2008	27	24	1	0	2	0	0	3	22
44	001	030100	2	2009	12	11	1	0	1	0	0	2	10
44	001	030100	2	2010	27	25	1	0	2	0	0	3	23
44	001	030100	2	2011	0	0	0	0	0	0	0	0	0
44	001	030100	2	2012	14	13	1	0	1	0	0	2	12
44	001	030100	2	2013	42	38	1	0	3	0	0	5	35
44	001	030100	2	2014	26	23	1	0	2	0	0	3	21
44	001	030100	2	2015	34	31	1	0	2	0	0	4	28
